,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.965,0.9986666666666667,0.9650445632798573,0.965,0.9649863177272501,0.953357167560454
Decision Tree,0.82,0.8802500000000001,0.8241079964983442,0.82,0.8207794376734121,0.7607484374596889
K-Nearest Neighbors,0.5,0.7697499999999999,0.521130101168955,0.5,0.5053550007497375,0.334992867030949
Naive Bayes,0.81,0.9505583333333334,0.8113261105197412,0.81,0.8104578013732255,0.7468035932115061
Random Forest,0.8925,0.9794666666666666,0.8925167516751675,0.8925,0.8924979374484363,0.856673805644793
XGBoost,0.9225,0.9945416666666667,0.9224774797317586,0.9225,0.9223818484158935,0.8967339242332375
